section,subsection,diseaseId,name,icd10,moduleFile,priority,missingBlocks,sourceCoverage,reviewStatus,owner,dueDate
andrology,sexual,erectile-dysfunction,Эректильная дисфункция,N52,erectileDysfunctionData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
andrology,sexual,premature-ejaculation,Преждевременная эякуляция,N53,prematureEjaculationData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
andrology,sexual,priapism,Приапизм,N48.3,priapismData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
andrology,sexual,psychogenic-ed,Психогенная эректильная дисфункция,F52.2,psychogenicEdData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
andrology,sexual,psychogenic-premature-ejaculation,Психогенная преждевременная эякуляция,F52.4,psychogenicPrematureEjaculationData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,functional,overactive-bladder,Гиперактивный мочевой пузырь,N32.8,overactiveBladderData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,functional,urge-incontinence,Ургентное недержание мочи,N39.4,urgeIncontinenceData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,functional,urinary-retention,Острая задержка мочи,R33,urinaryRetentionData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,acute-bacterial-prostatitis,Острый бактериальный простатит,N41.0,acuteBacterialProstatitisData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,acute-cystitis,Острый цистит,N30.0,acuteCystitisData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,device-associated-uti,"ИМП, связанная с катетером/устройством",T83.5,deviceAssociatedUtiData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,fournier-gangrene,Гангрена Фурнье,N49.2,fournierGangreneData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,pyelonephritis,Пиелонефрит,N10,pyelonephritisData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,recurrent-uti,Рецидивирующая ИМП,N39.0,recurrentUtiData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,renal-tuberculosis,Туберкулёз почки,A18.1,renalTuberculosisData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,infections,urosepsis,Уросепсис,N13.6 + A41.9,urosepsisData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
urology,reconstructive,hydronephrosis,Гидронефроз,N13,hydronephrosisData.js,A,,traceable,quality-ready,medical-qa,2026-05-15
